,Longitude,Latitude,Depth
0,-157.89347492577906,21.33210675471708,-0.5580278
1,-157.89337972975397,21.33210675471708,-0.6002509
2,-157.8932845337289,21.33210675471708,-0.31217235
3,-157.89318933770383,21.33210675471708,-0.19027574
4,-157.89309414167874,21.33210675471708,-0.19445989
5,-157.89299894565366,21.33210675471708,-0.32854712
6,-157.8929037496286,21.33210675471708,-0.07801827
7,-157.89280855360352,21.33210675471708,0.5605588
8,-157.89271335757843,21.33210675471708,0.67139256
9,-157.89347492577906,21.332011558692006,-0.48465118
10,-157.89337972975397,21.332011558692006,-0.6164185
11,-157.8932845337289,21.332011558692006,-0.40144214
12,-157.89318933770383,21.332011558692006,-0.23523577
13,-157.89309414167874,21.332011558692006,-0.21840739
14,-157.89299894565366,21.332011558692006,-0.3800828
15,-157.8929037496286,21.332011558692006,-0.039361272
16,-157.89280855360352,21.332011558692006,0.63388276
17,-157.90566001698886,21.331916362666927,0.5545457
18,-157.89347492577906,21.331916362666927,-0.336492
19,-157.89337972975397,21.331916362666927,-0.58131623
20,-157.8932845337289,21.331916362666927,-0.48871678
21,-157.89318933770383,21.331916362666927,-0.29660794
22,-157.89309414167874,21.331916362666927,-0.26884997
23,-157.89299894565366,21.331916362666927,-0.45724112
24,-157.8929037496286,21.331916362666927,0.040007196
25,-157.89280855360352,21.331916362666927,0.64507973
26,-157.89023826092645,21.331916362666927,0.2980851
27,-157.89004786887628,21.331916362666927,0.37970668
28,-157.88985747682614,21.331916362666927,0.42764595
29,-157.89337972975397,21.331821166641852,-0.48148644
30,-157.8932845337289,21.331821166641852,-0.5491044
31,-157.89318933770383,21.331821166641852,-0.36179766
32,-157.89309414167874,21.331821166641852,-0.31624132
33,-157.89299894565366,21.331821166641852,-0.5154884
34,-157.8929037496286,21.331821166641852,0.020317815
35,-157.89280855360352,21.331821166641852,0.5934535
36,-157.89271335757843,21.331821166641852,0.64095616
37,-157.8903334569515,21.331821166641852,0.12226515
38,-157.88995267285122,21.331821166641852,0.430029
39,-157.89347492577906,21.331725970616773,-0.18166083
40,-157.89337972975397,21.331725970616773,-0.39557773
41,-157.8932845337289,21.331725970616773,-0.56255025
42,-157.89318933770383,21.331725970616773,-0.4246597
43,-157.89309414167874,21.331725970616773,-0.3530948
44,-157.89299894565366,21.331725970616773,-0.5452524
45,-157.8929037496286,21.331725970616773,-0.059100498
46,-157.89280855360352,21.331725970616773,0.54320073
47,-157.8904286529766,21.331725970616773,0.18145914
48,-157.8903334569515,21.331725970616773,0.074973695
49,-157.89023826092645,21.331725970616773,0.012794384
50,-157.9055648209638,21.331630774591698,0.59795225
51,-157.89347492577906,21.331630774591698,-0.03901783
52,-157.89337972975397,21.331630774591698,-0.301522
53,-157.8932845337289,21.331630774591698,-0.5407056
54,-157.89318933770383,21.331630774591698,-0.4876029
55,-157.89309414167874,21.331630774591698,-0.40758857
56,-157.89299894565366,21.331630774591698,-0.57725024
57,-157.8929037496286,21.331630774591698,-0.10100917
58,-157.89280855360352,21.331630774591698,0.5624456
59,-157.89052384900168,21.331630774591698,0.30656227
60,-157.8904286529766,21.331630774591698,0.050698023
61,-157.9055648209638,21.331535578566623,0.61606264
62,-157.89347492577906,21.331535578566623,-0.010728035
63,-157.89337972975397,21.331535578566623,-0.24663539
64,-157.8932845337289,21.331535578566623,-0.50874585
65,-157.89318933770383,21.331535578566623,-0.5311462
66,-157.89309414167874,21.331535578566623,-0.45755097
67,-157.89299894565366,21.331535578566623,-0.6161615
68,-157.8929037496286,21.331535578566623,-0.1415632
69,-157.89280855360352,21.331535578566623,0.5606968
70,-157.89061904502674,21.331535578566623,0.1657728
71,-157.8904286529766,21.331535578566623,0.012449058
72,-157.89023826092645,21.331535578566623,0.18151997
73,-157.9055648209638,21.331440382541544,0.60352856
74,-157.90546962493872,21.331440382541544,0.63641715
75,-157.90451766468794,21.331440382541544,0.5453079
76,-157.89337972975397,21.331440382541544,-0.13935567
77,-157.8932845337289,21.331440382541544,-0.50591046
78,-157.89318933770383,21.331440382541544,-0.55448353
79,-157.89309414167874,21.331440382541544,-0.5203095
80,-157.89299894565366,21.331440382541544,-0.690303
81,-157.8929037496286,21.331440382541544,-0.13248356
82,-157.89280855360352,21.331440382541544,0.50676274
83,-157.89271335757843,21.331440382541544,0.5987701
84,-157.89071424105182,21.331440382541544,0.2899153
85,-157.89052384900168,21.331440382541544,0.050227717
86,-157.9059456050641,21.33134518651647,0.2700499
87,-157.90585040903903,21.33134518651647,0.36159897
88,-157.90575521301395,21.33134518651647,0.32967782
89,-157.90566001698886,21.33134518651647,0.24497983
90,-157.90546962493872,21.33134518651647,0.51016665
91,-157.90537442891363,21.33134518651647,0.54317963
92,-157.90451766468794,21.33134518651647,0.5532592
93,-157.89337972975397,21.33134518651647,0.08496891
94,-157.8932845337289,21.33134518651647,-0.53290224
95,-157.89318933770383,21.33134518651647,-0.58453673
96,-157.89309414167874,21.33134518651647,-0.59398365
97,-157.89299894565366,21.33134518651647,-0.76247907
98,-157.8929037496286,21.33134518651647,-0.16506587
99,-157.89280855360352,21.33134518651647,0.38718033
100,-157.89271335757843,21.33134518651647,0.57296294
101,-157.8908094370769,21.33134518651647,0.43699905
102,-157.89071424105182,21.33134518651647,0.17514397
103,-157.89061904502674,21.33134518651647,-0.020367028
104,-157.89052384900168,21.33134518651647,-0.030366078
105,-157.90613599711426,21.33124999049139,0.3905959
106,-157.90604080108918,21.33124999049139,0.24512345
107,-157.9059456050641,21.33124999049139,0.27204478
108,-157.90585040903903,21.33124999049139,0.3444716
109,-157.90575521301395,21.33124999049139,0.3831199
110,-157.90566001698886,21.33124999049139,0.28391635
111,-157.9055648209638,21.33124999049139,0.24665904
112,-157.90546962493872,21.33124999049139,0.22740075
113,-157.90537442891363,21.33124999049139,0.3234426
114,-157.90527923288857,21.33124999049139,0.55441815
115,-157.9051840368635,21.33124999049139,0.5925089
116,-157.9050888408384,21.33124999049139,0.59297305
117,-157.90499364481332,21.33124999049139,0.55847186
118,-157.90451766468794,21.33124999049139,0.57261735
119,-157.89337972975397,21.33124999049139,-0.019475583
120,-157.8932845337289,21.33124999049139,-0.5065013
121,-157.89318933770383,21.33124999049139,-0.647736
122,-157.89309414167874,21.33124999049139,-0.6821841
123,-157.89299894565366,21.33124999049139,-0.8145069
124,-157.8929037496286,21.33124999049139,-0.4117884
125,-157.89280855360352,21.33124999049139,0.07372257
126,-157.89271335757843,21.33124999049139,0.4340354
127,-157.89261816155337,21.33124999049139,0.5979304
128,-157.8908094370769,21.33124999049139,0.017423728
129,-157.89071424105182,21.33124999049139,-0.01808825
130,-157.89061904502674,21.33124999049139,-0.043103617
131,-157.89052384900168,21.33124999049139,-0.11888457
132,-157.9063263891644,21.331154794466315,0.518533
133,-157.90623119313932,21.331154794466315,0.43048406
134,-157.90613599711426,21.331154794466315,0.39633292
135,-157.90604080108918,21.331154794466315,0.53923166
136,-157.9055648209638,21.331154794466315,0.5013089
137,-157.90546962493872,21.331154794466315,0.3753419
138,-157.90537442891363,21.331154794466315,0.21089187
139,-157.90527923288857,21.331154794466315,0.27126935
140,-157.9051840368635,21.331154794466315,0.37893558
141,-157.9050888408384,21.331154794466315,0.47074813
142,-157.90499364481332,21.331154794466315,0.4587558
143,-157.90489844878826,21.331154794466315,0.45040974
144,-157.90480325276317,21.331154794466315,0.4697013
145,-157.9047080567381,21.331154794466315,0.4940519
146,-157.90461286071303,21.331154794466315,0.5228807
147,-157.90451766468794,21.331154794466315,0.51955533
148,-157.90442246866286,21.331154794466315,0.46189222
149,-157.9043272726378,21.331154794466315,0.36200052
