Longitude,Latitude,Depth
-66.21079688234663,18.48580122712704,-13.48737
-66.21070293664587,18.48580122712704,-13.285177
-66.21060899094512,18.48580122712704,-13.092232
-66.21051504524436,18.48580122712704,-13.475279
-66.21042109954361,18.48580122712704,-13.68141
-66.21070293664587,18.48570728142629,-13.674784
-66.21060899094512,18.48570728142629,-13.360164
-66.21051504524436,18.48570728142629,-13.455736
-66.21042109954361,18.48570728142629,-13.650965
-66.21032715384285,18.48570728142629,-13.309963
-66.21107871944888,18.485613335725535,-13.503224
-66.21079688234663,18.485613335725535,-13.805709
-66.21070293664587,18.485613335725535,-13.755533
-66.21051504524436,18.485613335725535,-13.537382
-66.21032715384285,18.485613335725535,-13.326727
-66.2102332081421,18.485613335725535,-13.308844
-66.21107871944888,18.485519390024784,-13.081135
-66.21098477374812,18.485519390024784,-13.269986
-66.21089082804737,18.485519390024784,-13.288595
-66.21079688234663,18.485519390024784,-13.387421
-66.21070293664587,18.485519390024784,-13.3932495
-66.21107871944888,18.485425444324033,-12.278367
-66.21098477374812,18.485425444324033,-12.739121
-66.21089082804737,18.485425444324033,-12.918317
-66.21079688234663,18.485425444324033,-12.9318075
-66.21070293664587,18.485425444324033,-12.921744
-66.21060899094512,18.485425444324033,-13.232636
-66.21051504524436,18.485425444324033,-13.349453
-66.21107871944888,18.485331498623278,-11.834066
-66.21098477374812,18.485331498623278,-12.257021
-66.21089082804737,18.485331498623278,-12.477094
-66.21079688234663,18.485331498623278,-12.342795
-66.21070293664587,18.485331498623278,-11.995569
-66.21060899094512,18.485331498623278,-12.378749
-66.21051504524436,18.485331498623278,-12.855701
-66.21042109954361,18.485331498623278,-13.094292
-66.21032715384285,18.485331498623278,-13.098986
-66.21107871944888,18.485237552922527,-11.049756
-66.21098477374812,18.485237552922527,-11.737871
-66.21089082804737,18.485237552922527,-11.968304
-66.21079688234663,18.485237552922527,-11.958558
-66.21070293664587,18.485237552922527,-11.526405
-66.21060899094512,18.485237552922527,-11.407507
-66.21051504524436,18.485237552922527,-11.682378
-66.21042109954361,18.485237552922527,-12.077175
-66.21032715384285,18.485237552922527,-12.3323965
-66.2102332081421,18.485237552922527,-12.566036
-66.21013926244136,18.485237552922527,-12.965204
-66.2100453167406,18.485237552922527,-13.473418
-66.20995137103985,18.485237552922527,-13.598696
-66.21107871944888,18.485143607221772,-10.402577
-66.21098477374812,18.485143607221772,-10.950045
-66.21089082804737,18.485143607221772,-11.156791
-66.21079688234663,18.485143607221772,-11.24685
-66.21070293664587,18.485143607221772,-11.318695
-66.21060899094512,18.485143607221772,-11.438247
-66.21051504524436,18.485143607221772,-11.555103
-66.21042109954361,18.485143607221772,-11.6418
-66.21032715384285,18.485143607221772,-11.708077
-66.2102332081421,18.485143607221772,-11.833386
-66.21013926244136,18.485143607221772,-11.803766
-66.2100453167406,18.485143607221772,-11.990061
-66.20995137103985,18.485143607221772,-12.986374
-66.2098574253391,18.485143607221772,-12.714249
-66.20976347963834,18.485143607221772,-12.69141
-66.20966953393759,18.485143607221772,-12.532876
-66.20957558823683,18.485143607221772,-12.71982
-66.21107871944888,18.48504966152102,-9.542751
-66.21098477374812,18.48504966152102,-10.810563
-66.21089082804737,18.48504966152102,-10.721307
-66.21079688234663,18.48504966152102,-10.20937
-66.21070293664587,18.48504966152102,-10.741458
-66.21060899094512,18.48504966152102,-11.147081
-66.21051504524436,18.48504966152102,-11.181192
-66.21042109954361,18.48504966152102,-11.343289
-66.21032715384285,18.48504966152102,-11.479225
-66.2102332081421,18.48504966152102,-11.740075
-66.21013926244136,18.48504966152102,-11.6537285
-66.2100453167406,18.48504966152102,-11.8757105
-66.20995137103985,18.48504966152102,-12.003719
-66.2098574253391,18.48504966152102,-11.863506
-66.20976347963834,18.48504966152102,-12.023649
-66.20966953393759,18.48504966152102,-12.0818205
-66.20948164253609,18.48504966152102,-12.368313
-66.21107871944888,18.484955715820266,-10.28785
-66.21098477374812,18.484955715820266,-10.846224
-66.21089082804737,18.484955715820266,-10.316513
-66.21079688234663,18.484955715820266,-10.031347
