,Longitude,Latitude,Depth
0,-158.26381825296716,21.565288895033724,-0.8865049
1,-158.26372599071902,21.565288895033724,-0.3285124
2,-158.26363372847092,21.565288895033724,-0.106116064
3,-158.26381825296716,21.565196632785614,-1.1009654
4,-158.26372599071902,21.565196632785614,-0.8975783
5,-158.26363372847092,21.565196632785614,-0.5933593
6,-158.26381825296716,21.5651043705375,-1.257709
7,-158.26372599071902,21.5651043705375,-1.1039876
8,-158.26363372847092,21.5651043705375,-0.89357793
9,-158.26381825296716,21.56501210828939,-1.7230699
10,-158.26372599071902,21.56501210828939,-0.72707385
11,-158.26363372847092,21.56501210828939,0.14257097
12,-158.26335694172658,21.56501210828939,-0.691279
13,-158.26326467947848,21.56501210828939,-0.1451102
14,-158.26317241723038,21.56501210828939,0.3607202
15,-158.26381825296716,21.564919846041278,-1.8373832
16,-158.26372599071902,21.564919846041278,-1.4400287
17,-158.26363372847092,21.564919846041278,-0.8093214
18,-158.26354146622282,21.564919846041278,-0.5427522
19,-158.2634492039747,21.564919846041278,-1.9050899
20,-158.26335694172658,21.564919846041278,-1.4835656
21,-158.26326467947848,21.564919846041278,-0.5772462
22,-158.26317241723038,21.564919846041278,-0.46940562
23,-158.26381825296716,21.564827583793168,-1.9389963
24,-158.26372599071902,21.564827583793168,-2.158872
25,-158.26363372847092,21.564827583793168,-1.8910979
26,-158.26354146622282,21.564827583793168,-1.2457
27,-158.2634492039747,21.564827583793168,-2.1554747
28,-158.26335694172658,21.564827583793168,-1.5695457
29,-158.26326467947848,21.564827583793168,-0.80333185
30,-158.26317241723038,21.564827583793168,-0.33433285
31,-158.26308015498225,21.564827583793168,0.01658216
32,-158.26298789273415,21.564827583793168,0.01658216
33,-158.26381825296716,21.564735321545054,-3.4167747
34,-158.26372599071902,21.564735321545054,-2.274687
35,-158.26363372847092,21.564735321545054,-1.2884592
36,-158.26354146622282,21.564735321545054,-1.2307279
37,-158.2634492039747,21.564735321545054,-2.1755202
38,-158.26335694172658,21.564735321545054,-2.2318687
39,-158.26326467947848,21.564735321545054,-2.0230014
40,-158.26317241723038,21.564735321545054,-1.6567062
41,-158.26308015498225,21.564735321545054,-0.30086887
42,-158.26298789273415,21.564735321545054,-0.30086887
43,-158.26381825296716,21.564643059296944,-3.661942
44,-158.26372599071902,21.564643059296944,-2.949605
45,-158.26363372847092,21.564643059296944,-2.599458
46,-158.26354146622282,21.564643059296944,-2.8639922
47,-158.2634492039747,21.564643059296944,-3.0393405
48,-158.26335694172658,21.564643059296944,-2.6400187
49,-158.26326467947848,21.564643059296944,-1.9702785
50,-158.26317241723038,21.564643059296944,-2.438529
51,-158.26308015498225,21.564643059296944,-1.1005651
52,-158.26298789273415,21.564643059296944,-1.1005651
53,-158.2628033682379,21.564643059296944,0.21283102
54,-158.2626188437417,21.564643059296944,0.30535603
55,-158.26381825296716,21.564550797048835,-3.9254336
56,-158.26372599071902,21.564550797048835,-4.409428
57,-158.26363372847092,21.564550797048835,-4.030669
58,-158.26354146622282,21.564550797048835,-3.7897038
59,-158.2634492039747,21.564550797048835,-3.4264328
60,-158.26335694172658,21.564550797048835,-2.7330787
61,-158.26326467947848,21.564550797048835,-2.0085516
62,-158.26317241723038,21.564550797048835,-2.3014402
63,-158.26308015498225,21.564550797048835,-1.473235
64,-158.26298789273415,21.564550797048835,-1.473235
65,-158.26289563048604,21.564550797048835,-1.2481939
66,-158.2628033682379,21.564550797048835,-1.2232783
67,-158.2627111059898,21.564550797048835,-0.84088504
68,-158.2626188437417,21.564550797048835,-0.17720553
69,-158.26252658149357,21.564550797048835,0.509263
70,-158.26381825296716,21.56445853480072,-5.1878886
71,-158.26372599071902,21.56445853480072,-5.3864064
72,-158.26363372847092,21.56445853480072,-4.979254
73,-158.26354146622282,21.56445853480072,-4.4640656
74,-158.2634492039747,21.56445853480072,-3.7718432
75,-158.26335694172658,21.56445853480072,-3.3947234
76,-158.26326467947848,21.56445853480072,-3.128421
77,-158.26317241723038,21.56445853480072,-2.5758398
78,-158.26308015498225,21.56445853480072,-2.027256
79,-158.26298789273415,21.56445853480072,-2.027256
80,-158.26289563048604,21.56445853480072,-2.0179162
81,-158.2628033682379,21.56445853480072,-1.7424638
82,-158.2627111059898,21.56445853480072,-0.56054044
83,-158.2626188437417,21.56445853480072,-0.15040156
84,-158.26252658149357,21.56445853480072,0.1633368
85,-158.26381825296716,21.56436627255261,-5.688126
86,-158.26372599071902,21.56436627255261,-5.768344
87,-158.26363372847092,21.56436627255261,-5.4858065
88,-158.26354146622282,21.56436627255261,-5.1749897
89,-158.2634492039747,21.56436627255261,-4.5815835
90,-158.26335694172658,21.56436627255261,-4.0673203
91,-158.26326467947848,21.56436627255261,-3.4903667
92,-158.26317241723038,21.56436627255261,-2.664201
93,-158.26308015498225,21.56436627255261,-2.1246886
94,-158.26298789273415,21.56436627255261,-2.1246886
95,-158.26289563048604,21.56436627255261,-1.9092962
96,-158.2628033682379,21.56436627255261,-1.611982
97,-158.2627111059898,21.56436627255261,-1.1115192
98,-158.2626188437417,21.56436627255261,-0.8633587
99,-158.26252658149357,21.56436627255261,-0.3264434
